Nquest;Indicaçãodedataehora;@1.ParacomeçarselecioneemqualcategoriadeusuáriodoSistemadeBiblio;@2.Informequaloseusexo;@3.Casosejaalunoaselecioneacategoriadeensinodoseucurso;@4.Selecioneemqualáreadoconhecimentooseucursoestáinserido;@5.Selecioneasbibliotecasquevocêfrequenta;@6.Possuialgumtipodedeficiência;@7.Sesimselecionequaléasuadeficiência;@8.QualisdosserviçoseourecursosoferecidospelaBibliotecaUniversit;@9.Emquaisdosseguintescanaisvocêidentificaadivulgaçãodosserviços;@10.VocêjáacessouapáginadabibliotecanaInternet;@11.Vocêtemrecebidoasnotificaçõesemitidasautomaticamentepelosist;@12.Qualoseugraudesatisfaçãoemrelaçãoaocatálogoonline;@13.QualoseugraudesatisfaçãoemrelaçãoaoPortaldePeriódicosdaCAPES;@14.QualoseugraudesatisfaçãoemrelaçãoàBibliotecaDigitaldeTeseseD;@15.QualoseugraudesatisfaçãoemrelaçãoaoRepositórioInstitucionalR;@16.Osserviçoseourecursosdepesquisadisponibilizadospelapáginadab;@17.Deixeaquiseucomentáriocríticaeousugestãosobreosserviçoserecu;@18.Ohoráriodefuncionamentonasbibliotecasquevocêfrequentatematen;@19.Qualoseugraudesatisfaçãocomacordialidadeeouempatiaporpartedo;@20.Vocêjánecessitoudoauxíliodosservidoresdobalcãodeempréstimoda;@21.Sesimqualoseugraudesatisfaçãoquantoaesseatendimento;@22.Vocêjáfoiatendidoporalgumabibliotecárioanasbibliotecasquevoc;@23.Sesimqualoseugraudesatisfaçãoquantoaesseatendimento;@24.Vocêjánecessitouseratendidopeloserviçodecomutaçãobibliográfi;@25.Sesimqualoseugraudesatisfaçãoquantoaesseatendimento;@26.Qualoseugraudesatisfaçãoquantoàeficiêncianaemissãodedeclaraç;@27.Deixeaquiseucomentáriocríticaeousugestãosobreoatendimentonas;@28.Vocêjárecorreuàorientaçãonanormalizaçãodetrabalhosacadêmicos;@29.Sesimqualoseugraudesatisfaçãoquantoaessaorientação;@30.Vocêjáacessoualgumdosrecursoseouferramentasdeauxílioànormali;@31.Sesimqualoseugraudesatisfaçãoquantoaessesrecursos;@32.Naelaboraçãodetrabalhosacadêmicoscomovocêcostumafazeroseulev;@33.Vocêjásolicitouelaboraçãodefichacatalográficaemalgumadasbibl;@34.Sesimqualoseugraudesatisfaçãoquantoàeficiêncianaelaboraçãoen;@35.Deixeaquiseucomentáriocríticaeousugestãosobreosserviçoserecu;@36.VocêjáparticipoudealgumdostreinamentosoferecidospeloSistemad;@37.Sesimqualoseugraudesatisfaçãoquantoaessetreinamento;@38.Vocêjáfezusodealgumdostutoriaisdisponibilizadosnositedabibli;@39.Sesimqualoseugraudesatisfaçãoquantoaessestutorialis;@40.Deixeaquiseucomentáriocríticaeousugestãosobreasatividadesdee;@41.Abibliografiadasdisciplinasdoseucursoestádisponívelnasbiblio;@42.Aquantidademáximadematerialbibliográficoemprestadoporusuário;@43.Aquantidademáximadediasdeempréstimoéde25diasparaalunospesqui;@44.Vocêjáacessoualgumdoscanaiseouferramentasdedivulgaçãodenovas;@45.Oacervodelivroseletrônicosebookscontemplaademandadoseucurso;@46.Deixeaquiseucomentáriocríticaeousugestãosobreacomposiçãodoac;@47.Nasuaopiniãoaclimatizaçãonasbibliotecasquevocêfrequentasãosa;@48.Nasuaopiniãoaluminosidadenasbibliotecasquevocêfrequentasãosa;@49.Nasuaopiniãoaquantidadedemobíliamesascadeirasetc.existentena;@50.Comovocêconsideraaquantidadedecomputadoresdisponibilizadospa;@51.QualoseugraudesatisfaçãocomaqualidadedaredeWiFiinternetsemfi;@52.Deixeaquiseucomentáriocríticaeousugestãosobreainfraestrutura;@53.Ascondiçõesdeacessibilidadenoentornodasbibliotecasquevocêfre;@54.Ascondiçõesdeacessibilidadenoprédiodasbibliotecasquevocêfreq;@55.Nasuaopiniãoosservidoresresponsáveispeloatendimentonasbiblio;@56.VocêconheceoserviçoBUemLibrasdisponívelnapáginadaBibliotecaU;@57.SesimqualoseugraudesatisfaçãoquantoaoserviçoBUemLibras;@58.Oserviçodelevantamentobibliográficoparapessoascomdeficiência;@59.Oserviçodedigitalizaçãodematerialbibliográficoparapessoascom;@60.Apesquisanocatálogoonlinefeitapormeiodomóduloacessibilidaded;@61.Acomposiçãodoacervoemformatoacessíveltaiscomodisponibilizaçã;@62.Deixeaquiseucomentáriocríticaeousugestãosobreaacessibilidade;@63.NasuaopiniãoestequestionáriocontemploutodasasdimensõesdoSist;@64.Qualoseugraudecompreensãodasquestõesaoresponderestequestioná;@65.Deixeaquiseucomentáriocríticaeousugestãosobreaestruturadeste
1;26-fev-2016;Aluno;Masculino;Graduação – Licenciatura;Pedagogia;Biblioteca de Ciências Humanas (BCH);Não; ;Consulta ao catálogo online, Consulta local ao acervo físico, Empréstimo de exemplares, Internet sem fio (Wi-Fi), Salas de estudo, Solicitação de declaração de nada consta;Site da biblioteca;Sim;Sim;4;1;9;9;5; ;Sim;2;Sim;2;Não sei;9;Não conheço;9;2; ;Não;9;Não conheço;9;Pesquiso no catálogo online, Pesquiso em bibliotecas digitais na Internet, Pesquiso em outros sites na Internet;Não conheço;9; ;Não;9;Não conheço;9; ;Sim;Suficiente;Suficiente;Não conheço;Não sei; ;Sim;Sim;Sim;Suficiente;4; ;Sim;Sim;Não;Não;9;Não conheço;Não conheço; ; ; ;Sim;2; 
2;07-mar-2016;Outro;Masculino; ;Não se aplica;Biblioteca de Ciências Humanas (BCH);Sim;Visual;Consulta ao catálogo online, Consulta local ao acervo físico, Digitalização de documentos para pessoas com deficiência, Empréstimo de exemplares;Página inicial do catálogo online, Site da biblioteca, Portal da UFC;Sim;Não;3;3;9;9;3;Seria muito bacana se os livros digitais (E-books) disponibilizados por algumas editoras no site da Biblioteca da UFC fossem mais acessíveis.; ;3;Sim;5;Sim;5;Não;9;9;Seria bem bacana se eles se apropriassem do conhecimento básico de tecnologias assistivas desenvolvidas para as pessoas com deficiência visual, a fim de atender cada vez melhor a esse grupo de usuários.;Não;9;Não;9; ;Não;9; ;Sim;3;Não;9; ; ;Suficiente;Suficiente;Não; ; ;Sim; ; ; ;9; ;Não;Não;Não;Não;9;Parcialmente;Sim; ;Parcialmente;Seria superbacana se a informação numerológica das estantes e seu acervo fosse transcrita em braille, possibilitando assim que tal informação estivesse ao alcance das pessoas com deficiência visual que tem nesse sistema sua forma de ler e escrever. Outra coisa superbacana seria adotar o piso e o mapa tátil nos setores da biblioteca para promover mais autonomia na locomoção desse grupo de usuários.;Sim;5;A estrutura está ótima. Minha única dificuldade foi identificar as perguntas relacionadas ao meu grupo de usuários: servidores técnico-administrativos. Como a maioria das perguntas é de cunho acadêmico, elas ficaram meio dispersas em todo o questionário. Quanto ao tempo que utilizei para respondê-lo, foi bastante satisfatório.
3;21-mar-2016;Técnico-Administrativo em Educação;Feminino; ;Biblioteconomia;Biblioteca de Ciências e Tecnologia (BCT), Biblioteca de Ciências Humanas (BCH);Não; ;Acesso à coleção ABNT online, Acesso ao Guia de Normalização de Trabalhos Acadêmicos, Atendimento presencial na(s) biblioteca(s), Consulta ao catálogo online, Consulta local ao acervo físico, Empréstimo de exemplares, Internet sem fio (Wi-Fi), Livros eletrônicos (e-books), Mecanismo online para referências (MORE), Orientação presencial na normalização de trabalhos acadêmicos, Portal de Periódicos da CAPES, Salas de estudo, Treinamentos de usuários (normalização, bases de dados etc.), Tutoriais (passo a passo de como utilizar os serviços oferecidos);Facebook, Instagram da UFC, Biblionotícias, Notificações enviadas por e-mail, Site da biblioteca, Portal da UFC;Sim;Sim;3;5;9;9;4; ;Sim;5;Não;9;Sim;5;Não;9;5; ;Não;9;Sim;5;Pesquiso no catálogo online;Sim;5; ;Sim;5;Sim;5; ;Não;Suficiente;Suficiente;Sim;Sim; ;Sim;Sim;Não;Insuficiente;4; ;Não;Sim;Não;Não;9; ; ; ; ; ;Sim;4; 
4;21-mar-2016;Aluno;Feminino;Pós-Graduação – Doutorado;Não se aplica;Biblioteca das Casas de Cultura Estrangeira (BCCE), Biblioteca de Ciências Humanas (BCH);Não; ;Acesso ao Guia de Normalização de Trabalhos Acadêmicos, Atendimento presencial na(s) biblioteca(s), Biblioteca Digital Brasileira de Teses e Dissertações (BDTD), Catalogação na publicação (ficha catalográfica), Consulta ao catálogo online, Consulta local ao acervo físico, Empréstimo de exemplares, Internet sem fio (Wi-Fi), Livros eletrônicos (e-books), Salas de estudo, Solicitação de declaração de nada consta;Notificações enviadas por e-mail, Página inicial do catálogo online, Site da biblioteca;Sim;Sim;3;3;4;4;3; ;Sim;4;Sim;5;Sim;5;Não conheço;9;5; ;Sim;5;Não;9;Pesquiso no catálogo online, Pesquiso em bibliotecas digitais na Internet, Pesquiso em outros sites na Internet;Sim;5; ;Não;9;Não;9; ;Parcialmente;Suficiente;Suficiente;Não;Não;Os ebooks se concentra nas áreas de exatas, enquanto as áreas de humanas ficam desassistidas.;Parcialmente;Sim;Não;Insuficiente;4;Os computadores são insuficientes para a demanda, principalmente quando é necessário a consulta do catalogo. Além disso,alguns não estão funcionando bem, pois são lentos.;Sim;Sim;Parcialmente;Não;9; ; ; ; ; ;Não;5;As questões de acessibilidade precisam ser revistas.
5;21-mar-2016;Aluno;Feminino;Graduação – Bacharelado;Biblioteconomia;Biblioteca de Ciências Humanas (BCH);Não; ;Acesso à coleção ABNT online, Acesso ao Guia de Normalização de Trabalhos Acadêmicos, Consulta ao catálogo online, Consulta local ao acervo físico, Empréstimo de exemplares, Gerador automático de referências APA, Internet sem fio (Wi-Fi), Salas de estudo;Facebook, Portal da UFC;Sim;Parcialmente;4;4;4;9;3; ;Não;2;Não;9; ;9; ;9;9; ;Não;9; ;9; ; ;9; ;Não;9;Sim;3; ;Parcialmente;Suficiente;Suficiente;Não; ; ;Sim;Sim;Parcialmente;Suficiente;5; ; ; ; ; ;9; ; ; ; ; ;Parcialmente;9; 
6;21-mar-2016;Aluno;Masculino;Graduação – Bacharelado;Engenharia de Software;Biblioteca do Campus de Russas (BCR);Não; ;Atendimento presencial na(s) biblioteca(s), Consulta ao catálogo online, Consulta local ao acervo físico, Empréstimo de exemplares, Salas de estudo;Facebook, Página inicial do catálogo online, Site da biblioteca, Portal da UFC;Sim;Parcialmente;4;3;3;3;2; ;Sim;5;Sim;9;Sim;5;Não;9;5; ;Não;9;Sim;4;Pesquiso no catálogo online, Pesquiso em bibliotecas digitais na Internet, Pesquiso em outros sites na Internet;Não;9; ;Não conheço;9;Não;9; ;Não;Suficiente;Suficiente;Não conheço;Não sei; ;Sim;Sim;Não;Suficiente;1; ;Sim;Sim;Sim;Não;9;Não conheço;Não conheço;Não conheço;Não conheço; ;Sim;5; 
7;21-mar-2016;Professor;Masculino; ;Ciências Sociais;Biblioteca de Ciências Humanas (BCH), Biblioteca de Pós-Graduação em Economia (BPGEC);Não; ;Atendimento presencial na(s) biblioteca(s), Consulta ao catálogo online, Consulta local ao acervo físico, Empréstimo de exemplares;Notificações enviadas por e-mail, Site da biblioteca;Sim;Sim;5;5;5;2;4; ; ;5;Sim;5;Sim;5;Não;9;5; ;Não;9;Não;9;Pesquiso no catálogo online, Pesquiso em bibliotecas digitais na Internet, Pesquiso em outros sites na Internet;Não;9;Sugiro acrescentar auxílio também ao Zotero como gerenciador de referências além dos já incluídos, pois é tão completo quanto EndNote, mas com a vantagem de ser software livre.;Não;9;Não;9; ;Parcialmente;Suficiente;Suficiente;Sim;Não sei; ;Sim; ;Sim;Suficiente;3; ;Sim;Sim;Sim;Não;9;Não conheço;Não conheço;Sim;Não conheço; ;Sim;4; 
8;21-mar-2016;Aluno;Feminino;Graduação – Bacharelado;Biblioteconomia;Biblioteca da Faculdade de Economia, Administração, Atuária e Contabilidade (BFEAAC), Biblioteca das Casas de Cultura Estrangeira (BCCE), Biblioteca de Ciências da Saúde (BCS), Biblioteca de Ciências Humanas (BCH);Não; ;Acesso ao Guia de Normalização de Trabalhos Acadêmicos, Consulta ao catálogo online, Consulta local ao acervo físico, Empréstimo de exemplares, Gerador automático de referências APA, Internet sem fio (Wi-Fi), Portal de Periódicos da CAPES, Salas de estudo, Solicitação de declaração de nada consta, Treinamentos de usuários (normalização, bases de dados etc.), Tutoriais (passo a passo de como utilizar os serviços oferecidos);Facebook, Notificações enviadas por e-mail, Página inicial do catálogo online, Portal da UFC;Sim;Sim;5;3;3;4;5; ;Sim;2;Sim;2;Sim;5;Não;9;5; ;Não;9;Não;9;Pesquiso no catálogo online, Pesquiso em bibliotecas digitais na Internet, Pesquiso em outros sites na Internet, Recorro ao acervo da(s) biblioteca(s) da UFC;Não;9; ;Não;9;Não;9; ;Sim;Suficiente;Suficiente;Não;Não sei; ;Sim;Sim;Sim;Suficiente;3; ;Sim;Parcialmente;Parcialmente;Não;9;Não conheço;Não conheço;Sim;Não conheço; ;Sim;5;"Achei extenso, muitas perguntas rsrs mas são válidas!
Mostra que a biblioteca está preocupada e interessada quanto às necessidades de seus usuários."
9;21-mar-2016;Aluno;Feminino;Graduação – Bacharelado;Direito;Biblioteca da Faculdade de Direito (BFD), Biblioteca de Ciências Humanas (BCH);Não; ;Acesso ao Guia de Normalização de Trabalhos Acadêmicos, Atendimento presencial na(s) biblioteca(s), Consulta ao catálogo online, Consulta local ao acervo físico, Empréstimo de exemplares, Internet sem fio (Wi-Fi), Salas de estudo;Página inicial do catálogo online, Site da biblioteca, Portal da UFC;Sim;Sim;4;2;1;3;3; ;Sim;2;Sim;4;Sim;5;Não;9;2; ;Não;9;Sim;5;Pesquiso no catálogo online, Pesquiso em outros sites na Internet;Sim;5; ;Não;9;Sim;4; ;Não;Suficiente;Suficiente;Sim;Não; ;Sim;Sim;Não;Insuficiente;3; ;Não;Não;Não;Não;9;Não conheço;Não conheço;Não conheço;Não conheço; ;Não;3; 
10;21-mar-2016;Aluno;Feminino;Graduação – Bacharelado;Outro;Biblioteca da Faculdade de Economia, Administração, Atuária e Contabilidade (BFEAAC), Biblioteca de Ciências e Tecnologia (BCT), Biblioteca de Ciências Humanas (BCH);Não; ;Acesso ao Guia de Normalização de Trabalhos Acadêmicos, Consulta ao catálogo online, Consulta local ao acervo físico, Empréstimo de exemplares;Banners, Facebook, Portal da UFC;Sim;Sim;3;3;3;3;3; ;Não;1;Sim;1;Não;9;Não conheço;9;3; ;Não;9;Sim;3;Pesquiso em outros sites na Internet;Não;9; ;Não;9;Não;9; ;Não;Suficiente;Suficiente;Não;Não sei; ;Parcialmente;Sim;Parcialmente;Insuficiente;1; ;Sim;Sim;Não;Não;9;Não conheço;Não conheço;Não conheço;Não conheço; ;Sim;3; 
